[(20, 26, 36), (56, 67, 79), (38, 47, 59), (87, 91, 93), (177, 144, 100)]
[(193, 196, 180), (172, 178, 162), (154, 161, 144), (100, 84, 62), (78, 65, 50)]
[(120, 210, 213), (234, 153, 30), (142, 97, 32), (182, 120, 33), (96, 81, 37)]
[(199, 186, 142), (47, 57, 39), (213, 199, 157), (31, 43, 28), (65, 72, 50)]
[(192, 184, 184), (211, 204, 202), (162, 163, 163), (91, 106, 116), (120, 138, 149)]
[(140, 148, 121), (105, 107, 78), (117, 126, 103), (162, 168, 139), (188, 189, 152)]
[(199, 161, 43), (177, 146, 41), (81, 99, 44), (116, 127, 47), (55, 62, 34)]
[(230, 193, 131), (222, 183, 119), (236, 203, 141), (212, 169, 105), (196, 151, 91)]
[(161, 204, 208), (196, 227, 222), (81, 95, 52), (127, 124, 55), (160, 153, 88)]
[(176, 142, 46), (213, 224, 161), (187, 201, 142), (218, 193, 107), (205, 171, 68)]
[(208, 202, 202), (221, 212, 215), (195, 190, 187), (178, 174, 170), (159, 155, 149)]
[(133, 103, 70), (163, 132, 70), (97, 106, 80), (137, 136, 101), (106, 57, 54)]
[(31, 17, 15), (90, 41, 29), (58, 29, 24), (101, 74, 30), (134, 80, 37)]
[(90, 109, 134), (63, 76, 98), (193, 147, 58), (132, 82, 28), (133, 146, 160)]
[(216, 234, 236), (128, 124, 44), (174, 210, 215), (156, 157, 76), (86, 138, 174)]
[(174, 115, 20), (200, 141, 22), (210, 181, 116), (222, 204, 153), (196, 141, 87)]
[(203, 197, 157), (195, 188, 148), (184, 178, 138), (212, 207, 168), (169, 164, 125)]
[(147, 174, 184), (85, 110, 53), (143, 154, 99), (124, 137, 59), (129, 153, 160)]
[(176, 111, 24), (151, 95, 24), (125, 80, 20), (195, 133, 28), (99, 61, 16)]
[(205, 185, 138), (186, 168, 120), (220, 200, 156), (163, 149, 105), (211, 219, 224)]
[(51, 30, 40), (68, 49, 58), (34, 16, 22), (204, 215, 176), (129, 123, 94)]
[(109, 144, 126), (48, 54, 43), (65, 82, 66), (89, 112, 96), (133, 165, 142)]
[(231, 223, 204), (223, 214, 194), (213, 205, 183), (202, 193, 172), (188, 179, 158)]
[(42, 31, 23), (21, 15, 13), (64, 49, 32), (174, 123, 46), (139, 92, 36)]
[(220, 211, 179), (211, 200, 166), (229, 222, 191), (200, 187, 151), (185, 171, 133)]
[(200, 211, 207), (229, 237, 231), (110, 111, 53), (187, 181, 110), (145, 143, 101)]
[(230, 129, 25), (87, 132, 191), (61, 104, 169), (124, 156, 193), (220, 183, 75)]
[(227, 177, 134), (89, 64, 56), (68, 43, 37), (107, 83, 79), (213, 161, 116)]
[(15, 7, 8), (38, 26, 26), (99, 113, 96), (56, 53, 47), (77, 83, 71)]
[(165, 93, 17), (58, 68, 22), (48, 65, 106), (31, 35, 13), (41, 52, 66)]
[(199, 197, 157), (194, 176, 99), (166, 171, 142), (165, 183, 201), (125, 153, 181)]
[(126, 130, 86), (108, 113, 75), (139, 143, 104), (90, 94, 59), (157, 158, 117)]
[(232, 228, 206), (210, 207, 187), (127, 127, 88), (153, 152, 112), (106, 96, 59)]
[(215, 165, 71), (171, 133, 65), (115, 183, 203), (61, 66, 52), (118, 98, 54)]
[(66, 94, 75), (43, 64, 59), (89, 120, 101), (121, 141, 127), (24, 33, 33)]
[(233, 237, 227), (211, 216, 197), (152, 156, 74), (194, 193, 85), (203, 209, 134)]
[(44, 37, 37), (52, 47, 46), (76, 69, 62), (101, 97, 90), (131, 130, 127)]
[(5, 8, 7), (20, 19, 18), (57, 49, 43), (38, 33, 30), (76, 65, 54)]
[(195, 194, 205), (181, 180, 192), (208, 208, 218), (166, 166, 178), (150, 150, 162)]
[(13, 7, 9), (35, 30, 27), (56, 69, 47), (81, 103, 69), (178, 183, 168)]
[(180, 204, 215), (201, 220, 231), (90, 67, 45), (56, 43, 28), (210, 204, 179)]
[(153, 169, 114), (86, 107, 58), (125, 139, 78), (234, 238, 229), (101, 139, 119)]
[(250, 245, 218), (243, 235, 204), (226, 218, 189), (206, 199, 171), (186, 179, 151)]
[(145, 175, 225), (171, 196, 239), (125, 152, 171), (203, 216, 243), (199, 128, 14)]
[(227, 218, 157), (216, 195, 124), (76, 38, 28), (26, 26, 24), (195, 164, 100)]
[(223, 225, 211), (234, 235, 221), (32, 20, 9), (52, 41, 28), (205, 204, 191)]
[(203, 206, 192), (214, 217, 203), (190, 192, 179), (53, 44, 32), (72, 63, 51)]
[(89, 120, 141), (210, 183, 145), (179, 168, 141), (109, 137, 158), (61, 73, 68)]
[(53, 39, 35), (66, 49, 46), (97, 72, 63), (82, 60, 54), (42, 29, 24)]
[(224, 216, 129), (210, 194, 98), (177, 164, 82), (101, 119, 63), (130, 159, 99)]
[(218, 153, 90), (243, 191, 109), (168, 129, 89), (151, 96, 48), (95, 67, 29)]
[(84, 105, 120), (136, 116, 115), (155, 136, 135), (70, 88, 101), (98, 122, 139)]
[(20, 12, 8), (52, 45, 29), (107, 123, 65), (80, 82, 45), (106, 163, 153)]
[(210, 128, 58), (217, 177, 101), (183, 189, 205), (145, 151, 181), (146, 92, 57)]
[(111, 130, 111), (91, 71, 39), (119, 87, 53), (65, 59, 36), (137, 143, 122)]
[(241, 235, 223), (251, 250, 238), (227, 221, 211), (209, 205, 196), (188, 184, 177)]
[(46, 151, 198), (81, 172, 208), (118, 191, 213), (228, 218, 146), (98, 121, 93)]
[(54, 82, 104), (37, 62, 82), (224, 214, 193), (33, 36, 38), (80, 108, 128)]
[(199, 223, 238), (229, 240, 247), (168, 202, 233), (108, 139, 36), (66, 103, 44)]
[(37, 31, 28), (202, 191, 141), (62, 56, 55), (187, 163, 113), (105, 82, 64)]
[(215, 215, 216), (229, 228, 229), (198, 198, 202), (176, 175, 181), (20, 18, 28)]
[(222, 199, 149), (210, 189, 137), (231, 210, 163), (194, 174, 122), (175, 156, 106)]
[(94, 126, 139), (142, 168, 172), (76, 110, 121), (118, 144, 148), (173, 189, 176)]
[(130, 186, 190), (113, 170, 161), (37, 23, 22), (69, 44, 37), (101, 153, 122)]
[(247, 217, 55), (140, 43, 12), (31, 16, 6), (90, 28, 10), (179, 74, 20)]
[(233, 210, 144), (226, 189, 112), (196, 169, 132), (123, 108, 89), (154, 137, 119)]
[(193, 190, 176), (176, 174, 162), (205, 202, 187), (158, 156, 145), (140, 137, 127)]
[(62, 28, 12), (176, 146, 119), (89, 47, 21), (155, 124, 101), (36, 10, 4)]
[(23, 49, 82), (40, 76, 119), (76, 106, 142), (10, 19, 39), (198, 196, 152)]
[(87, 88, 70), (103, 104, 79), (115, 126, 102), (135, 149, 125), (71, 72, 55)]
[(103, 90, 22), (172, 199, 199), (148, 177, 170), (133, 112, 36), (72, 66, 16)]
[(155, 119, 73), (136, 101, 59), (116, 83, 46), (171, 137, 89), (94, 63, 33)]
[(197, 197, 197), (183, 183, 184), (168, 168, 171), (210, 210, 210), (150, 150, 155)]
[(203, 118, 49), (178, 96, 43), (226, 148, 60), (138, 78, 41), (149, 202, 208)]
[(225, 227, 215), (213, 206, 194), (123, 102, 61), (203, 182, 164), (100, 72, 44)]
[(11, 17, 14), (35, 54, 40), (64, 104, 70), (108, 140, 95), (64, 122, 118)]
[(201, 136, 23), (175, 102, 17), (225, 169, 36), (200, 221, 214), (129, 79, 17)]
[(154, 177, 187), (239, 225, 206), (192, 203, 207), (126, 152, 159), (84, 95, 41)]
[(191, 160, 53), (175, 140, 34), (204, 178, 79), (151, 116, 23), (111, 98, 29)]
[(239, 218, 59), (230, 195, 54), (22, 15, 12), (52, 41, 36), (186, 180, 106)]
[(187, 204, 207), (213, 224, 223), (153, 176, 184), (192, 187, 174), (113, 144, 159)]
[(66, 69, 71), (55, 59, 61), (235, 236, 233), (79, 81, 81), (224, 225, 220)]
[(149, 113, 42), (171, 133, 58), (125, 89, 31), (144, 187, 173), (129, 165, 150)]
[(76, 50, 15), (98, 66, 24), (120, 82, 32), (54, 33, 8), (226, 181, 101)]
